4tnd;15;543
3ovv;14;24
3poo;14;23
3ama;1;24
4uj1;14;24
5izj;14;350
4uj9;10;24
3owp;15;23
6frx;12;24
5bx6;5;24
3l9m;11;22
4uja;13;24
4ujb;4;24
3vqh;4;24
4wb5;13;24
5bx7;5;24
4wb8;14;24
4wb7;1;24
1xws;33;305
2bik;33;305
5n4v;33;10
2bzh;32;306
2bzi;33;305
2c3i;1;305
4xhk;32;305
5n50;33;10
5mzl;33;9
5n5l;33;10
5ndt;33;10
6pdi;32;10
2j2i;33;305
4bzn;33;305
4alw;34;306
3f2a;32;308
3a99;33;305
3r04;35;305
3vbq;35;305
5v82;34;306
3r02;35;305
5dia;33;305
6bru;20;341
6bu6;20;341
6bp0;20;341
6btw;20;341
6q4g;1;298
6q49;1;298
6q4h;0;298
6q48;1;296
6q4j;0;298
6q4e;0;298
6q4k;0;298
6q4d;1;296
6q3b;1;298
6q4i;1;298
6q4b;1;298
6q4a;1;298
6q3f;-3;298
6q4f;-1;298
4ek4;1;296
4fkl;1;298
2r3i;1;298
6q3c;2;298
1gz8;1;298
5mhq;-2;298
6guk;1;298
4ek3;1;296
2r3q;1;298
4gcj;-5;298
2r3r;1;298
4fku;1;298
2r3f;1;298
2r3h;1;298
6guh;-1;298
4fkg;1;298
4ek6;1;298
1jvp;1;298
2r3g;1;298
4fko;1;298
4fks;1;296
1h00;1;298
1oit;3;298
1urw;1;298
3rm6;1;298
4ek5;1;298
4fki;1;298
4fkp;1;298
4fkt;1;296
5anj;3;298
5k4j;0;298
5oo0;2;296
2r3n;1;298
4acm;1;298
4fkj;1;298
4rj3;1;295
2r3j;1;298
2r3l;1;298
4eoj;-1;431
2r3p;1;298
5iey;1;298
2vtt;1;298
2cch;0;12
2r3k;1;298
2r3m;1;298
3pxz;-3;298
3qqj;1;298
3r73;1;298
3rai;1;298
3sw4;1;298
4ek8;1;298
4fkv;1;298
4kd1;1;298
5ane;1;298
5ano;1;298
5oo3;2;294
6q4c;-1;298
3py0;1;298
3qqf;1;298
3qrt;1;298
3qwj;1;298
3qx2;1;298
3qxo;1;298
3qxp;1;298
3qzg;1;298
3qzi;1;298
3r28;1;298
3r6x;1;298
3r71;1;298
3r7u;1;298
3r83;1;298
3r9n;1;298
3rah;1;298
3rak;1;298
3ral;1;298
3rmf;1;298
3roy;1;298
3rpo;1;298
3rpr;1;298
3s1h;1;298
4fkq;1;298
5osm;-3;296
3ns9;3;298
1h01;1;296
1h08;1;298
1hcl;1;298
1ykr;1;298
2c6i;1;298
2clx;1;298
2exm;1;298
2r3o;1;298
3ddq;0;439
3ig7;1;298
3igg;1;298
3pxf;-3;298
3pxy;1;298
3qtq;1;298
3r1s;1;298
3r1y;1;298
3r8m;1;298
3r8p;1;298
3rk7;1;298
3rpv;1;298
3s00;1;298
3sw7;1;298
4fkw;1;298
5d1j;1;298
3qtu;1;298
6ath;17;79
4bzd;1;298
5osj;2;296
3tiy;2;298
4nj3;1;298
1e1x;1;298
1h07;1;296
2b54;1;298
2b55;1;298
2btr;1;298
2fvd;1;298
2vu3;1;298
2xnb;1;298
3qql;1;298
3qtr;1;298
3qtw;1;298
3qwk;1;298
3r1q;1;298
3r7i;1;298
3r8z;1;298
3rjc;1;298
3rk9;1;298
3rm7;1;298
3sqq;1;298
5fp6;1;294
4d1z;3;295
3qqk;1;298
3qqh;1;298
2b52;1;298
2vtr;1;298
1h0v;1;298
1hck;1;298
2bhe;1;298
2c6k;1;298
2c6m;1;296
2vth;1;298
2vtq;1;298
2vts;1;298
2vv9;1;298
2w05;1;298
2xmy;1;298
3ezr;1;298
3fz1;1;298
3pxq;-3;298
3ql8;1;298
3qqg;1;298
3qts;1;298
3r7e;1;298
3r7y;1;298
3r8l;1;298
3r8v;1;298
3r9o;1;298
3rpy;1;298
3rzb;1;298
4fkr;1;298
5ang;2;298
5ani;2;298
5ank;1;298
3unj;1;298
1oir;1;296
3qx4;1;298
5jq5;3;298
5jq8;3;298
1e1v;1;298
1pw2;1;298
1pxi;1;298
2a0c;1;298
